filter,n,build_seconds,lookup_seconds,false_positive_rate
Bloom Filter,1000,0.006144799999674433,5.692400000043563e-06,0.006
Bloom Filter,10000,0.07712859999992361,5.530150000595313e-06,0.012
Bloom Filter,100000,0.5897276999985479,5.1075000001219454e-06,0.008
Cuckoo Filter,1000,0.015215400000670343,4.781900000125461e-06,0.0025
Cuckoo Filter,10000,0.054425199999968754,5.12075000006007e-06,0.003
Cuckoo Filter,100000,0.522183799999766,4.957549999744515e-06,0.001
XOR Filter,1000,0.027972400001090136,5.2855499998258896e-06,0.0035
XOR Filter,10000,0.10477579999860609,4.816950000531506e-06,0.005
XOR Filter,100000,0.9257814000011422,3.841749999992317e-06,0.0045
